ticker,company name,Company,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off
EDIT,Editas Medicine Inc.,Editas Medicine,Biotechnology,Editas Medicine Inc is a genome editing company which is engaged in treating patients with genetically defined diseases by correcting disease-causing genes.,http://www.editasmedicine.com,EDIT.png,Katrine S. Bosley,Nasdaq Global Select,1047521263,Healthcare,Healthcare,Biotechnology,,Boston,Healthcare,,0.2,1/9/2023,https://endpts.com/editas-edits-pipeline-lays-off-20-and-says-bye-to-cso-to-kick-off-jpm23/,656,Post-IPO,1/20/2023 1:26,United States,Unknown
EGHT,8x8 Inc,8x8,Communication Services,"8x8 Inc is a technology company. It provides cloud-based, enterprise-class software solutions that transform the way businesses communicate and collaborate globally. The company operates through two segments: America and Europe.",http://www.8x8.com,EGHT.png,Vikram Verma,New York Stock Exchange,1762916084,Communication Services,Communication Services,Telecom Services,,SF Bay Area,Support,155,0.07,1/18/2023,https://www.channelfutures.com/business-models/8x8-to-reduce-7-of-workforce-significantly-impacting-channel-staff,253,Post-IPO,1/18/2023 23:18,United States,Unknown
EGHT,8x8 Inc,8x8,Communication Services,"8x8 Inc is a technology company. It provides cloud-based, enterprise-class software solutions that transform the way businesses communicate and collaborate globally. The company operates through two segments: America and Europe.",http://www.8x8.com,EGHT.png,Vikram Verma,New York Stock Exchange,1762916084,Communication Services,Communication Services,Telecom Services,,SF Bay Area,Support,200,0.09,10/4/2022,https://www.channelfutures.com/business-models/8x8-lays-off-workers-cites-operational-efficiency,253,Post-IPO,1/18/2023 23:20,United States,Unknown
ERIC,Ericsson,Ericsson,Communication Equipment,Telefonaktiebolaget L M Ericsson is a telecom services provider based in Sweden. It provides wireless telecommunication solutions globally.,http://www.ericsson.com,ERIC.png,Borje Ekholm,Nasdaq Global Select,29144975775,Technology,Technology,Communication Equipment,,Stockholm,Other,8500,0.08,2/24/2023,https://www.reuters.com/business/media-telecom/ericsson-lay-off-8500-employees-memo-2023-02-24/,663,Post-IPO,2/24/2023 5:00,Sweden,Unknown
FATE,Fate Therapeutics Inc.,Fate Therapeutics,Biotechnology,Fate Therapeutics Inc is a clinical-stage biopharmaceutical company engaged in the development of programmed cellular immunotherapies for cancer and immune disorders.,http://www.fatetherapeutics.com,,J. Scott Wolchko,NASDAQ Global Market,906489323,Healthcare,Healthcare,Biotechnology,,San Diego,Healthcare,315,0.57,1/9/2023,"https://www.sandiegouniontribune.com/business/story/2023-01-09/san-diegos-fate-therapeutics-lays-off-315-employees-more-than-half-of-its-workforce#:~:text=Fate%20Therapeutics%2C%20a%20San%20Diego,collaboration%20agreement%20with%20Janssen%20Biotech",1200,Post-IPO,1/13/2023 1:56,United States,Unknown
FSCT,ForeScout Technologies Inc.,ForeScout,Application Software,ForeScout Technologies Inc develops technology that discovers and classifies IP-based devices in real time as they connect to the network and continuously monitors and assesses their security posture.,https://www.forescout.com,,Michael DeCesare,NASDAQ Global Market,1373305529,Technology,Technology,Software - Application,Application Software,SF Bay Area,Security,100,0.1,1/10/2023,https://www.calcalistech.com/ctechnews/article/hkyo39k9o,125,Post-IPO,1/10/2023 16:42,United States,Unknown
GDDY,GoDaddy Inc. Class A,GoDaddy,Online Media,"GoDaddy Inc, through its subsidiaries provides a variety of domain name registration and website hosting services. It also provides cloud-based solutions.",http://www.godaddy.com,,Scott W Wagner,New York Stock Exchange,12109723514,Technology,Technology,Internet Content & Information,Online Media,Phoenix,Marketing,530,0.08,2/8/2023,https://techstartups.com/2023/02/08/godaddy-to-lay-off-8-of-its-workforce-or-about-530-employees-amid-global-economic-slowdown/,800,Post-IPO,2/8/2023 22:43,United States,Unknown
GDDY,GoDaddy Inc. Class A,GoDaddy,Online Media,"GoDaddy Inc, through its subsidiaries provides a variety of domain name registration and website hosting services. It also provides cloud-based solutions.",http://www.godaddy.com,,Scott W Wagner,New York Stock Exchange,12109723514,Technology,Technology,Internet Content & Information,Online Media,Austin,Marketing,451,0.06,6/24/2020,https://domainnamewire.com/2020/06/24/godaddy-plans-layoffs-and-is-closing-austin-offices/,,Post-IPO,6/25/2020 5:21,United States,Unknown
GH,Guardant Health Inc.,Guardant Health,Medical Diagnostics & Research,,https://www.guardanthealth.com,GH.png,Helmy Eltoukhy,Nasdaq Global Select,3421588630,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research,SF Bay Area,Healthcare,130,0.07,1/25/2023,https://www.genomeweb.com/business-news/guardant-health-lays-7-percent-workforce#.Y9HcqOzMK8A,550,Post-IPO,1/26/2023 1:51,United States,Unknown
GPRO,GoPro Inc.,GoPro,Computer Hardware,"GoPro Inc is a United States-based company engaged in the development and sale of cameras, mountable and wearable accessories and drones. The company has presence, including in the Americas, Europe, Middle East, Africa, and Asia-Pacific.",http://www.gopro.com,GPRO.png,Nicholas Woodman,Nasdaq Global Select,722481103,Technology,Technology,Consumer Electronics,Computer Hardware,SF Bay Area,Consumer,200,0.2,4/15/2020,https://techcrunch.com/2020/04/16/gopro-lays-off-200-employees-representing-20-of-the-company/,288,Post-IPO,4/15/2020 23:42,United States,Unknown
GRPN,Groupon Inc.,Groupon,Online Media,Groupon Inc offers marketing services by selling vouchers through online local marketplaces that can be redeemed for goods or services with third-party merchants. The company's segments include North America and International.,http://www.groupon.com,GRPN.png,Rich Williams,Nasdaq Global Select,2117593856,Technology,Technology,Internet Content & Information,Online Media,Chicago,Retail,500,,1/30/2023,https://www.chicagobusiness.com/technology/groupon-lay-another-500-workers,1400,Post-IPO,1/31/2023 4:39,United States,https://docs.google.com/spreadsheets/d/1ffu4J_b0g2B4YLo7xvls3U2turNuS-QB2Khv5Qcrlrk/edit#gid=779115768
GRPN,Groupon Inc.,Groupon,Online Media,Groupon Inc offers marketing services by selling vouchers through online local marketplaces that can be redeemed for goods or services with third-party merchants. The company's segments include North America and International.,http://www.groupon.com,GRPN.png,Rich Williams,Nasdaq Global Select,2117593856,Technology,Technology,Internet Content & Information,Online Media,Chicago,Retail,500,0.15,8/8/2022,https://techcrunch.com/2022/08/08/groupon-cuts-over-500-staff-as-the-downturn-takes-its-tolll/,1400,Post-IPO,8/8/2022 21:36,United States,Unknown
GRPN,Groupon Inc.,Groupon,Online Media,Groupon Inc offers marketing services by selling vouchers through online local marketplaces that can be redeemed for goods or services with third-party merchants. The company's segments include North America and International.,http://www.groupon.com,GRPN.png,Rich Williams,Nasdaq Global Select,2117593856,Technology,Technology,Internet Content & Information,Online Media,Chicago,Retail,2800,0.44,4/13/2020,https://layoffs.fyi/2020/04/17/groupon-laid-off-or-furloughed-2800-employees/,1400,Post-IPO,4/13/2020 21:14,United States,Unknown
HPQ,HP Inc.,HP,Computer Hardware,"HP Inc provides products, technologies, software, solutions and services to individual consumers, small- and medium-sized businesses including customers in the government, health and education sectors.",http://www.hp.com,HPQ.png,Dion J. Weisler,New York Stock Exchange,35031301133,Technology,Technology,Computer Systems,Computer Hardware,Tel Aviv,Hardware,100,,2/19/2023,https://www.themarker.com/technation/2023-02-19/ty-article/.premium/00000186-692c-d22b-ad9e-7f6e08aa0000,4200,Post-IPO,2/20/2023 4:15,Israel,Unknown
HUBS,HubSpot Inc.,HubSpot,Application Software,"HubSpot Inc provides a cloud-based inbound marketing and sales platform which features integrated applications to help businesses attract visitors to websites, convert visitors into leads, close leads into customers and delight customers.",http://www.hubspot.com,HUBS.png,Brian Halligan,New York Stock Exchange,6408591141,Technology,Technology,Software - Application,Application Software,Boston,Marketing,500,0.07,1/31/2023,https://www.marketwatch.com/story/hubspot-to-lay-off-about-500-employees-consolidate-workspace-leases-01675175630,100,Post-IPO,1/31/2023 16:33,United States,https://hire.hubspotalumni.com/jobboard
ILMN,Illumina Inc.,Illumina,Medical Diagnostics & Research,Illumina Inc engages in life science tools and machines for analyzing genetic material. The company primarily engages in microarray and genome sequencing machines and disposables. It also provides sequencing services through its products.,http://www.illumina.com,ILMN.png,Francis A. DeSouza,Nasdaq Global Select,41312880000,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research,San Diego,Healthcare,500,0.05,11/14/2022,https://www.genomeweb.com/business-news/illumina-lays-approximately-500-employees-response-economic-climate#.Y4FAPOzMJjM,28,Post-IPO,11/17/2022 0:51,United States,Unknown
INST,Instructure Inc.,Instructure,Application Software,"Instructure, Inc. provides cloud-based learning management platform for academic institutions and companies worldwide. The company offers its platform through a Software-as-a-Service business model.",http://www.instructure.com,INST.png,Dan Goldsmith,New York Stock Exchange,1439838960,Technology,Technology,Software - Application,Application Software,Salt Lake City,Education,150,0.12,5/27/2020,https://philonedtech.com/instructure-restructure-significant-layoffs-hitting-canvas-side-of-the-business/,89,Acquired,5/27/2020 21:54,United States,Unknown
INTC,Intel Corporation,Intel,Semiconductors,"Intel Corp is the world's largest chipmaker. It engaged in making a semiconductor chip. It designs and manufactures integrated digital technology products like integrated circuits, for industries such as computing and communications.",http://www.intel.com,INTC.png,Robert H. Swan,Nasdaq Global Select,2.25484E+11,Technology,Technology,Semiconductors,,SF Bay Area,Hardware,343,,1/30/2023,https://www.sfgate.com/tech/article/intel-plans-layoffs-california-campus-17752669.php,12,Post-IPO,1/31/2023 4:42,United States,Unknown
